student_id,quarter,ref_agency
00f543789a32,1,AGENCY G
00f543789a32,3,AGENCY G
00f8f270abd6,2,AGENCY G
00f8f270abd6,3,AGENCY G
00f8f270abd6,4,AGENCY G
00fb99bc7737,1,CHI PUB SCH
00fb99bc7737,2,CHI PUB SCH
00fb99bc7737,3,CHI PUB SCH
010006aff300,2,AGENCY C
010006aff300,3,AGENCY C
010006aff300,4,AGENCY C
01054b0a17fa,1,AGENCY G
01054b0a17fa,2,AGENCY G
01054b0a17fa,3,AGENCY G
0108bafbc6a2,2,CHI PUB SCH
0108bafbc6a2,3,CHI PUB SCH
010b4bc82a71,1,AGENCY B
010b4bc82a71,2,AGENCY B
010ec1c11131,1,CHI PUB SCH
010ec1c11131,2,CHI PUB SCH
010ec1c11131,3,CHI PUB SCH
0116740bc694,2,CHI PUB SCH
0116740bc694,3,CHI PUB SCH
0116740bc694,4,CHI PUB SCH
0116ec84c1ec,1,AGENCY G
0116ec84c1ec,2,AGENCY G
0116ec84c1ec,4,AGENCY G
011c8a5dd732,1,AGENCY A
011c8a5dd732,2,AGENCY A
011c8a5dd732,3,AGENCY A
011c8a5dd732,4,AGENCY A
0120cc295729,1,AGENCY B
0120cc295729,3,AGENCY B
0120cc295729,4,AGENCY B
01248b46f060,1,AGENCY E
01248b46f060,4,AGENCY E
0125046f0e2a,2,AGENCY A
0125046f0e2a,4,AGENCY A
01259df404a9,1,AGENCY D
01259df404a9,2,AGENCY D
012dc130cf27,1,AGENCY A
0130949893b1,1,CHI PUB SCH
0130949893b1,2,CHI PUB SCH
0130949893b1,3,CHI PUB SCH
0135d434d2ab,2,AGENCY A
0135d434d2ab,3,AGENCY A
0136997a829d,4,AGENCY B
0137397d1178,4,AGENCY E
013cda9870ba,1,AGENCY G
013cda9870ba,3,AGENCY G
013cda9870ba,4,AGENCY G
013d1616d3b9,2,CHI PUB SCH
013d1616d3b9,3,CHI PUB SCH
014199dd5e1d,1,AGENCY G
014199dd5e1d,2,AGENCY G
0141a2e0840a,1,AGENCY C
0141a2e0840a,3,AGENCY C
0141a2e0840a,4,AGENCY C
01420c9be644,2,AGENCY C
014727bafe06,1,AGENCY G
014727bafe06,2,AGENCY G
01535dfda2e1,3,AGENCY B
0157e6c1d6ed,2,AGENCY A
01581477aab3,1,AGENCY A
01581477aab3,3,AGENCY A
01581477aab3,4,AGENCY A
015a691280b3,2,AGENCY G
015a691280b3,3,AGENCY G
015a691280b3,4,AGENCY G
015ccbec32bd,1,AGENCY C
015ccbec32bd,2,AGENCY C
015ccbec32bd,3,AGENCY C
015ccbec32bd,4,AGENCY C
016637d31b87,1,AGENCY F
016637d31b87,3,AGENCY F
016a3633b5c6,3,CHI PUB SCH
016a3633b5c6,4,CHI PUB SCH
016e5735da28,1,AGENCY D
016e5735da28,2,AGENCY D
016e5735da28,3,AGENCY D
016e5735da28,4,AGENCY D
016fc92747f2,1,AGENCY F
016fc92747f2,2,AGENCY F
016fc92747f2,3,AGENCY F
0180f7abdc10,2,AGENCY B
0180f7abdc10,3,AGENCY B
0184675d53f3,2,AGENCY B
0184675d53f3,3,AGENCY B
018b1a6f9e7a,3,AGENCY C
018b1a6f9e7a,4,AGENCY C
018b1c52a4a2,1,AGENCY C
018b1c52a4a2,2,AGENCY C
018b1c52a4a2,3,AGENCY C
018f9eff7b38,2,AGENCY E
018f9eff7b38,3,AGENCY E
0193d81d81d6,1,CHI PUB SCH
0193d81d81d6,3,CHI PUB SCH
0193d81d81d6,4,CHI PUB SCH
01944f3afcfb,3,AGENCY C
01944f3afcfb,4,AGENCY C
01979214466f,1,AGENCY E
01979214466f,2,AGENCY E
01979214466f,4,AGENCY E
01a045fa4b9f,3,AGENCY A
01a045fa4b9f,4,AGENCY A
01aa9b864640,2,AGENCY G
01aa9b864640,3,AGENCY G
01ac5e3da045,3,AGENCY D
01acf5662206,1,AGENCY G
01acf5662206,2,AGENCY G
01acf5662206,4,AGENCY G
01b9c4722208,1,AGENCY C
01b9c4722208,2,AGENCY C
01b9c4722208,3,AGENCY C
01badc5bba55,2,AGENCY F
01badc5bba55,3,AGENCY F
01badc5bba55,4,AGENCY F
01c0ab8f533e,2,AGENCY B
01c0ab8f533e,3,AGENCY B
01c0ab8f533e,4,AGENCY B
01c0fe76d225,1,AGENCY G
01c0fe76d225,2,AGENCY G
01c0fe76d225,3,AGENCY G
01c0fe76d225,4,AGENCY G
01ca67a6ef71,1,AGENCY G
01ca67a6ef71,3,AGENCY G
01d8eb14d969,1,AGENCY C
01d8eb14d969,2,AGENCY C
01d8eb14d969,3,AGENCY C
01d8eb14d969,4,AGENCY C
01d9a4d922b6,1,AGENCY B
01dc79da3abe,1,AGENCY F
01dc79da3abe,3,AGENCY F
01df21e40708,1,AGENCY D
01df21e40708,3,AGENCY D
01df21e40708,4,AGENCY D
01e56ab1774c,2,AGENCY F
01e56ab1774c,3,AGENCY F
01e56ab1774c,4,AGENCY F
01ecab4f3b5c,1,AGENCY G
01ee2623b302,3,AGENCY C
01eed36f40d5,2,AGENCY E
01f4e4a881c6,2,AGENCY D
01f4e4a881c6,3,AGENCY D
01f4e4a881c6,4,AGENCY D
01f6551662fe,1,AGENCY C
01f6551662fe,4,AGENCY C
01f867b3cc55,3,AGENCY F
01f867b3cc55,4,AGENCY F
01f9b06dfa4f,2,AGENCY F
01f9b06dfa4f,3,AGENCY F
01f9b06dfa4f,4,AGENCY F
01fa71ec1567,2,AGENCY E
01fa71ec1567,4,AGENCY E
01fc40dbe1ed,1,AGENCY G
01fc40dbe1ed,2,AGENCY G
01ffc534a154,1,AGENCY G
01ffc534a154,2,AGENCY G
020126cde5d7,1,AGENCY G
020126cde5d7,2,AGENCY G
020126cde5d7,3,AGENCY G
020126cde5d7,4,AGENCY G
02033918550a,2,AGENCY E
02033918550a,3,AGENCY E
02067a618db8,2,AGENCY G
02067a618db8,3,AGENCY G
020cb53b1720,1,AGENCY E
020cb53b1720,4,AGENCY E
021609fa6567,3,AGENCY D
021609fa6567,4,AGENCY D
02184fb42d38,2,AGENCY F
02184fb42d38,3,AGENCY F
02184fb42d38,4,AGENCY F
0218c4f6d87a,1,AGENCY F
0218c4f6d87a,2,AGENCY F
0218c4f6d87a,3,AGENCY F
021c91943fdd,1,AGENCY F
021c91943fdd,2,AGENCY F
021c91943fdd,4,AGENCY F
0223c8bca712,3,AGENCY B
0223c8bca712,4,AGENCY B
0229bd7302b3,3,AGENCY A
02316f006c11,1,AGENCY B
02316f006c11,2,AGENCY B
02316f006c11,3,AGENCY B
02316f006c11,4,AGENCY B
02373a9dbd04,2,AGENCY G
02373a9dbd04,4,AGENCY G
0237fceb668b,1,CHI PUB SCH
0237fceb668b,2,CHI PUB SCH
0237fceb668b,4,CHI PUB SCH
0240ebeb587e,1,AGENCY B
0240ebeb587e,2,AGENCY B
0240ebeb587e,4,AGENCY B
0241e91c52f5,3,AGENCY A
0241e91c52f5,4,AGENCY A
0245fa62ed2b,2,AGENCY A
0245fa62ed2b,3,AGENCY A
0246b7292164,2,CHI PUB SCH
0246b7292164,3,CHI PUB SCH
0246b7292164,4,CHI PUB SCH
02507d789d42,1,AGENCY B
02507d789d42,3,AGENCY B
02507d789d42,4,AGENCY B
0250fddfe951,2,AGENCY D
0250fddfe951,3,AGENCY D
0250fddfe951,4,AGENCY D
02541468509f,4,AGENCY B
02543c3ac46f,1,AGENCY A
02543c3ac46f,2,AGENCY A
025498b6f061,3,AGENCY B
025498b6f061,4,AGENCY B
025bfb6fa9ee,1,AGENCY D
025bfb6fa9ee,2,AGENCY D
025bfb6fa9ee,3,AGENCY D
025e5f230b74,1,AGENCY B
025e5f230b74,2,AGENCY B
0260856bcf65,1,AGENCY B
0260856bcf65,2,AGENCY B
0261fe56cf1b,3,AGENCY F
0261fe56cf1b,4,AGENCY F
02648b565c17,1,CHI PUB SCH
02648b565c17,2,CHI PUB SCH
02648b565c17,4,CHI PUB SCH
026509d514af,1,AGENCY E
026509d514af,2,AGENCY E
026509d514af,3,AGENCY E
02697c5dd529,1,AGENCY F
02697c5dd529,3,AGENCY F
02697c5dd529,4,AGENCY F
026d0a13dce5,1,CHI PUB SCH
026d0a13dce5,2,CHI PUB SCH
026d0a13dce5,4,CHI PUB SCH
0279df1d3528,2,AGENCY C
0279df1d3528,4,AGENCY C
027ecaa91ea9,2,CHI PUB SCH
027ecaa91ea9,3,CHI PUB SCH
028547019f44,1,AGENCY F
028547019f44,2,AGENCY F
0285886bdb21,1,AGENCY A
0285886bdb21,3,AGENCY A
0285886bdb21,4,AGENCY A
0287f254af06,2,AGENCY D
0287f254af06,4,AGENCY D
028d3cce2e5c,2,CHI PUB SCH
028d3cce2e5c,3,CHI PUB SCH
028e97f38cb9,1,AGENCY D
028e97f38cb9,2,AGENCY D
029644cab509,1,AGENCY E
029644cab509,3,AGENCY E
029797781bdd,1,AGENCY E
029797781bdd,4,AGENCY E
029ec8a0d960,1,AGENCY C
029ec8a0d960,2,AGENCY C
029ec8a0d960,4,AGENCY C
02a2c3c86df4,1,AGENCY D
02a2c3c86df4,2,AGENCY D
02a2c3c86df4,3,AGENCY D
02a2c3c86df4,4,AGENCY D
02a47c968e8d,1,AGENCY B
02b99fe02433,1,AGENCY F
02b99fe02433,2,AGENCY F
02bd0c08a92b,1,AGENCY D
02bd0c08a92b,2,AGENCY D
02bd0c08a92b,4,AGENCY D
02c2fc17b0c1,2,AGENCY A
02c2fc17b0c1,4,AGENCY A
02c35d79ea78,1,AGENCY B
02c35d79ea78,2,AGENCY B
02c4bd927afb,1,CHI PUB SCH
02c4bd927afb,2,CHI PUB SCH
02c4bd927afb,3,CHI PUB SCH
02c4bd927afb,4,CHI PUB SCH
02cc12d0fb89,1,CHI PUB SCH
02cc12d0fb89,2,CHI PUB SCH
02cc12d0fb89,3,CHI PUB SCH
02cce09c39f4,2,AGENCY E
02cce09c39f4,3,AGENCY E
02cfdbdc9802,2,AGENCY E
02cfdbdc9802,3,AGENCY E
02d0a01083c7,1,AGENCY C
02d0a01083c7,3,AGENCY C
02d0a01083c7,4,AGENCY C
02d4247761cb,1,AGENCY A
02d4247761cb,2,AGENCY A
02d4247761cb,3,AGENCY A
02d6bd6e5636,1,AGENCY C
02d6bd6e5636,2,AGENCY C
02d6bd6e5636,3,AGENCY C
02d855258c86,1,AGENCY A
02d855258c86,2,AGENCY A
02d855258c86,4,AGENCY A
02d95b0745cf,1,AGENCY G
02d95b0745cf,2,AGENCY G
02d95b0745cf,3,AGENCY G
02da4a0865d8,4,AGENCY F
02dc8d3a87b5,3,AGENCY D
02dc8d3a87b5,4,AGENCY D
02de53b71313,1,CHI PUB SCH
02de53b71313,2,CHI PUB SCH
02de53b71313,3,CHI PUB SCH
02de53b71313,4,CHI PUB SCH
02e108ed00bb,2,AGENCY B
02e108ed00bb,3,AGENCY B
02e108ed00bb,4,AGENCY B
02e2afb64a46,1,AGENCY G
02eaa7d8744b,1,AGENCY G
02eaa7d8744b,2,AGENCY G
02eaa7d8744b,3,AGENCY G
02f0bffdde23,2,AGENCY D
02f0bffdde23,3,AGENCY D
02f4babe7c00,1,AGENCY F
02f4babe7c00,4,AGENCY F
02fcae96f480,1,AGENCY A
02fcae96f480,2,AGENCY A
02fcae96f480,3,AGENCY A
02fcae96f480,4,AGENCY A
02fe4ad908c6,1,AGENCY E
02fe4ad908c6,2,AGENCY E
02fe4ad908c6,3,AGENCY E
02fe4ad908c6,4,AGENCY E
0302450e380d,1,CHI PUB SCH
0302450e380d,2,CHI PUB SCH
030451c95d18,2,CHI PUB SCH
030451c95d18,3,CHI PUB SCH
0319ccb51951,1,AGENCY D
0319ccb51951,2,AGENCY D
0319ccb51951,3,AGENCY D
031b894b6cf0,1,AGENCY D
031b894b6cf0,2,AGENCY D
031b894b6cf0,4,AGENCY D
031e38323fa0,1,CHI PUB SCH
031e38323fa0,3,CHI PUB SCH
031e38323fa0,4,CHI PUB SCH
031fc24dbb26,1,AGENCY E
031fc24dbb26,2,AGENCY E
031fc24dbb26,3,AGENCY E
031fc24dbb26,4,AGENCY E
0320c5d364a8,1,AGENCY B
0320c5d364a8,2,AGENCY B
0320c5d364a8,3,AGENCY B
03243bc5c822,1,AGENCY B
03243bc5c822,2,AGENCY B
03243bc5c822,4,AGENCY B
032548b703ce,1,AGENCY A
032548b703ce,3,AGENCY A
032548b703ce,4,AGENCY A
032856fca8b9,2,AGENCY F
032856fca8b9,3,AGENCY F
0332e1fc8568,1,AGENCY F
0332e1fc8568,3,AGENCY F
033ce5b69cea,1,CHI PUB SCH
033ce5b69cea,2,CHI PUB SCH
033ce5b69cea,4,CHI PUB SCH
03400425b1fa,1,AGENCY E
03400425b1fa,2,AGENCY E
03400425b1fa,4,AGENCY E
0344deb13058,2,CHI PUB SCH
0344deb13058,3,CHI PUB SCH
034793336597,2,AGENCY C
034793336597,4,AGENCY C
035cd6fa6c8e,1,CHI PUB SCH
035cd6fa6c8e,2,CHI PUB SCH
035cd6fa6c8e,3,CHI PUB SCH
036574621b58,1,CHI PUB SCH
036574621b58,3,CHI PUB SCH
036574621b58,4,CHI PUB SCH
03677d30d902,1,AGENCY E
03677d30d902,3,AGENCY E
03677d30d902,4,AGENCY E
036f6c6f4cc0,2,AGENCY F
036ff7313994,1,CHI PUB SCH
036ff7313994,2,CHI PUB SCH
036ff7313994,4,CHI PUB SCH
037e2b24c29e,1,AGENCY F
037e2b24c29e,2,AGENCY F
037e2b24c29e,3,AGENCY F
037e2b24c29e,4,AGENCY F
038799aabe24,1,AGENCY F
038799aabe24,2,AGENCY F
038799aabe24,3,AGENCY F
0389b2fc8011,2,AGENCY A
0389b2fc8011,3,AGENCY A
039035874015,1,CHI PUB SCH
039035874015,2,CHI PUB SCH
039035874015,3,CHI PUB SCH
039035874015,4,CHI PUB SCH
03967e337798,1,CHI PUB SCH
03967e337798,2,CHI PUB SCH
03967e337798,3,CHI PUB SCH
03967e337798,4,CHI PUB SCH
0399fa5bb970,2,AGENCY A
0399fa5bb970,3,AGENCY A
039ceef04f56,1,AGENCY B
039ceef04f56,2,AGENCY B
039ceef04f56,4,AGENCY B
039f945e88e7,3,AGENCY F
039f945e88e7,4,AGENCY F
03a86da53c0d,1,CHI PUB SCH
03a86da53c0d,2,CHI PUB SCH
03a86da53c0d,4,CHI PUB SCH
03ad7a7384c4,2,AGENCY B
03ad7a7384c4,4,AGENCY B
03ae4538062c,1,AGENCY B
03ae4538062c,3,AGENCY B
03ae4538062c,4,AGENCY B
03b4b006967e,1,AGENCY D
03b4b006967e,2,AGENCY D
03b7eb9c99ed,2,AGENCY E
03b7eb9c99ed,4,AGENCY E
03ba529371b7,1,AGENCY E
03ba529371b7,3,AGENCY E
03ba529371b7,4,AGENCY E
03bc3663cbb0,1,AGENCY E
03bc3663cbb0,2,AGENCY E
03bc3663cbb0,3,AGENCY E
03bc3663cbb0,4,AGENCY E
03c2f217a550,1,AGENCY A
03c393e6bd3d,3,AGENCY G
03c393e6bd3d,4,AGENCY G
03c396c51e59,2,AGENCY G
03c396c51e59,3,AGENCY G
03c396c51e59,4,AGENCY G
03c8632722f4,2,AGENCY B
03c8632722f4,3,AGENCY B
03c884596206,2,AGENCY C
03c884596206,3,AGENCY C
03c884596206,4,AGENCY C
03ca2a6784ff,1,AGENCY B
03ca47a2bc8e,3,AGENCY A
03ca47a2bc8e,4,AGENCY A
03cac4b170e1,2,AGENCY G
03cac4b170e1,4,AGENCY G
03ccbcd1dc10,2,AGENCY C
03d27fbf177c,1,AGENCY A
03d27fbf177c,2,AGENCY A
03d27fbf177c,4,AGENCY A
03d504614bcb,1,CHI PUB SCH
03d504614bcb,3,CHI PUB SCH
03d504614bcb,4,CHI PUB SCH
03d773949d2a,1,AGENCY C
03d915dd705a,2,AGENCY A
03d915dd705a,3,AGENCY A
03d915dd705a,4,AGENCY A
03db1df10303,1,AGENCY G
03db1df10303,4,AGENCY G
03e17448878e,2,AGENCY C
03e17448878e,3,AGENCY C
03ed89c3e1a1,1,AGENCY F
03ed89c3e1a1,2,AGENCY F
03ed89c3e1a1,4,AGENCY F
03f4ac933ef9,1,AGENCY G
03f4ac933ef9,2,AGENCY G
03f4ac933ef9,3,AGENCY G
03f4ac933ef9,4,AGENCY G
03f75e425725,1,AGENCY D
03f75e425725,2,AGENCY D
03f75e425725,3,AGENCY D
03f75e425725,4,AGENCY D
04112deaab5c,3,AGENCY G
04112deaab5c,4,AGENCY G
0414eadd34ac,1,AGENCY D
0414eadd34ac,3,AGENCY D
0414eadd34ac,4,AGENCY D
041c13debeba,3,AGENCY F
041c13debeba,4,AGENCY F
041d3d2bdb01,1,CHI PUB SCH
041d3d2bdb01,2,CHI PUB SCH
041d3d2bdb01,3,CHI PUB SCH
041d3d2bdb01,4,CHI PUB SCH
0422254af545,2,AGENCY G
0422254af545,3,AGENCY G
0422254af545,4,AGENCY G
042697b522d3,2,CHI PUB SCH
042697b522d3,3,CHI PUB SCH
0428daf6e642,1,AGENCY B
0428daf6e642,2,AGENCY B
0428daf6e642,3,AGENCY B
042a25731c56,1,CHI PUB SCH
042a25731c56,2,CHI PUB SCH
042a25731c56,3,CHI PUB SCH
042a25731c56,4,CHI PUB SCH
0435d0a29fdf,3,AGENCY C
0435d0a29fdf,4,AGENCY C
043974d93d7c,4,AGENCY E
043b36a50f7b,1,AGENCY D
043b36a50f7b,2,AGENCY D
043b36a50f7b,3,AGENCY D
0447dd0e4806,1,AGENCY D
044eb01b6302,1,AGENCY F
044eb01b6302,2,AGENCY F
0451b14924fe,3,CHI PUB SCH
0451b14924fe,4,CHI PUB SCH
04580982e3f9,1,AGENCY B
04580982e3f9,2,AGENCY B
04580982e3f9,3,AGENCY B
0459f7761e4d,1,CHI PUB SCH
0459f7761e4d,2,CHI PUB SCH
0459f7761e4d,3,CHI PUB SCH
045af90216f5,3,AGENCY D
045af90216f5,4,AGENCY D
045b8af580ca,1,AGENCY C
045b8af580ca,2,AGENCY C
045b8af580ca,3,AGENCY C
045ef7f851e6,1,AGENCY D
045ef7f851e6,2,AGENCY D
046203fea324,1,CHI PUB SCH
046203fea324,2,CHI PUB SCH
046203fea324,4,CHI PUB SCH
04667d7d2ae5,1,AGENCY C
04667d7d2ae5,3,AGENCY C
04667d7d2ae5,4,AGENCY C
046cc44e8f45,2,AGENCY F
046cc44e8f45,3,AGENCY F
046f0d682733,1,AGENCY B
046f0d682733,2,AGENCY B
04756fba3a39,2,AGENCY C
04756fba3a39,4,AGENCY C
047ac7d2ea0b,1,CHI PUB SCH
047ac7d2ea0b,3,CHI PUB SCH
047ac7d2ea0b,4,CHI PUB SCH
047cc744dcdc,1,AGENCY G
047cc744dcdc,2,AGENCY G
047cc744dcdc,4,AGENCY G
0484bb7e8672,1,AGENCY C
0484bb7e8672,2,AGENCY C
0484bb7e8672,4,AGENCY C
048789cd4855,1,AGENCY E
048789cd4855,2,AGENCY E
048789cd4855,3,AGENCY E
048789cd4855,4,AGENCY E
048f9498bab5,2,AGENCY F
048f9498bab5,4,AGENCY F
04903dab2cc9,1,CHI PUB SCH
04903dab2cc9,2,CHI PUB SCH
04903dab2cc9,3,CHI PUB SCH
0493e46f94e7,2,AGENCY F
0493e46f94e7,3,AGENCY F
0493e46f94e7,4,AGENCY F
049ded984785,3,AGENCY F
049ded984785,4,AGENCY F
04aa7b977a54,2,CHI PUB SCH
04aa7b977a54,3,CHI PUB SCH
04aa7b977a54,4,CHI PUB SCH
04b1f705a5b8,1,AGENCY E
04b1f705a5b8,2,AGENCY E
04b222c4575f,1,AGENCY C
04b222c4575f,3,AGENCY C
04b2f752cee2,2,AGENCY F
04b2f752cee2,3,AGENCY F
04c13fb8cced,1,AGENCY D
04c13fb8cced,2,AGENCY D
04cb4b3cca49,2,AGENCY C
04cb719b193a,3,AGENCY E
04cbecc327ff,2,AGENCY A
04cbecc327ff,3,AGENCY A
04d0f92877a8,1,AGENCY A
04d0f92877a8,3,AGENCY A
04d2c7f4c775,3,AGENCY E
04d2c7f4c775,4,AGENCY E
04d3f4af2e02,1,CHI PUB SCH
04d3f4af2e02,2,CHI PUB SCH
04d3f4af2e02,4,CHI PUB SCH
04ddff0f400f,2,AGENCY D
04ddff0f400f,3,AGENCY D
04ddff0f400f,4,AGENCY D
04e19f96b329,2,AGENCY F
04e19f96b329,3,AGENCY F
04e6854a47c6,3,AGENCY A
04e6854a47c6,4,AGENCY A
04f6df11996e,1,AGENCY F
04f6df11996e,2,AGENCY F
04f6df11996e,3,AGENCY F
04fac8f086d4,1,AGENCY B
04fac8f086d4,2,AGENCY B
04fac8f086d4,3,AGENCY B
0500f0f25df9,1,AGENCY D
0500f0f25df9,2,AGENCY D
0500f0f25df9,3,AGENCY D
0500f0f25df9,4,AGENCY D
050336c80db9,2,AGENCY B
050336c80db9,3,AGENCY B
050336c80db9,4,AGENCY B
05036640be41,2,AGENCY D
05036640be41,3,AGENCY D
05036640be41,4,AGENCY D
0503cc87785f,1,AGENCY D
0503cc87785f,2,AGENCY D
0503cc87785f,3,AGENCY D
0505bc9cb16b,1,AGENCY A
0505bc9cb16b,3,AGENCY A
0505bc9cb16b,4,AGENCY A
05099785f14a,2,AGENCY D
05099785f14a,4,AGENCY D
05133579abaf,2,AGENCY F
05133579abaf,3,AGENCY F
05133579abaf,4,AGENCY F
051e8e4cf611,2,AGENCY B
051e8e4cf611,4,AGENCY B
0525f150907c,1,AGENCY B
0525f150907c,3,AGENCY B
0525f150907c,4,AGENCY B
0527f7f1bdc7,2,AGENCY B
0527f7f1bdc7,3,AGENCY B
05280e8c47f1,2,AGENCY F
05280e8c47f1,3,AGENCY F
05280e8c47f1,4,AGENCY F
053297c409ca,2,AGENCY F
053297c409ca,4,AGENCY F
053988426d25,1,AGENCY A
053988426d25,2,AGENCY A
053988426d25,3,AGENCY A
053988426d25,4,AGENCY A
053aa062f20a,1,AGENCY F
053aa062f20a,2,AGENCY F
053aa062f20a,3,AGENCY F
053c485c3b55,2,AGENCY F
053c485c3b55,3,AGENCY F
053c485c3b55,4,AGENCY F
053fb2f93d90,1,AGENCY D
053fb2f93d90,3,AGENCY D
054700a44d75,3,AGENCY C
054700a44d75,4,AGENCY C
0548bb282d56,2,AGENCY A
0548bb282d56,3,AGENCY A
0548bb282d56,4,AGENCY A
054b5b5d2e38,1,AGENCY C
054b5b5d2e38,4,AGENCY C
054b934c47a3,1,AGENCY C
054b934c47a3,2,AGENCY C
054b934c47a3,3,AGENCY C
0557588820e4,3,AGENCY E
0557588820e4,4,AGENCY E
055d34000225,1,AGENCY D
055d34000225,2,AGENCY D
055d34000225,3,AGENCY D
0563c1370de8,1,AGENCY C
0563c1370de8,2,AGENCY C
0563c1370de8,4,AGENCY C
05684e044c01,2,AGENCY C
05684e044c01,3,AGENCY C
05684e044c01,4,AGENCY C
056cabc568db,1,AGENCY C
056cabc568db,2,AGENCY C
056cabc568db,4,AGENCY C
0570d4632829,1,AGENCY A
0570d4632829,2,AGENCY A
0579ab10a4a6,1,AGENCY G
0579ab10a4a6,3,AGENCY G
0579ab10a4a6,4,AGENCY G
057ba9341acd,1,CHI PUB SCH
057ba9341acd,3,CHI PUB SCH
057ba9341acd,4,CHI PUB SCH
058955146c75,1,AGENCY G
058955146c75,2,AGENCY G
058955146c75,3,AGENCY G
0589def26c4a,1,AGENCY D
058a6b0dec52,1,AGENCY B
058a6b0dec52,2,AGENCY B
0599a39bee07,1,AGENCY F
0599a39bee07,2,AGENCY F
0599a39bee07,4,AGENCY F
0599ce010bd6,1,AGENCY E
0599ce010bd6,3,AGENCY E
0599ce010bd6,4,AGENCY E
059eed7ad6d0,1,AGENCY A
059eed7ad6d0,2,AGENCY A
059eed7ad6d0,3,AGENCY A
05af79e78e84,4,AGENCY E
05b15b5c096c,1,CHI PUB SCH
05b15b5c096c,2,CHI PUB SCH
05b15b5c096c,4,CHI PUB SCH
05bd47de93b4,1,AGENCY B
05bd47de93b4,2,AGENCY B
05c3dbee61a0,1,AGENCY B
05c3dbee61a0,3,AGENCY B
05c3e2471c7b,1,AGENCY B
05c3e2471c7b,2,AGENCY B
05c3e2471c7b,4,AGENCY B
05c90e29e9e5,1,AGENCY E
05c90e29e9e5,2,AGENCY E
