student_id,course_id,grade_letter
008e5a333a93,MTH_2,A
008e5a333a93,ART_1,A
008e5a333a93,LANG_1,A
008e5a333a93,SOC_1,D
008e5a333a93,LANG_2,A
009bfdabe910,SOC_1,A
009bfdabe910,SOC_2,B
009bfdabe910,SCI_1,C
009bfdabe910,ENG_1,F
009bfdabe910,SOC_3,D
009bfdabe910,SOC_4,A
009bfdabe910,ART_1,B
00a6316cb6ca,LANG_1,A
00a6316cb6ca,ART_1,A
00a6316cb6ca,SCI_1,D
00a6316cb6ca,SOC_1,B
00a6316cb6ca,SCI_2,B
00a6316cb6ca,SOC_2,A
00a6f87d070f,ENG_1,A
00a6f87d070f,SOC_1,A
00a6f87d070f,SCI_1,A
00a6f87d070f,LANG_1,A
00a6f87d070f,ENG_2,A
00a6f87d070f,ART_1,B
00a6f87d070f,SOC_2,F
00ab9c8f49b4,SOC_1,B
00ab9c8f49b4,SOC_2,A
00ab9c8f49b4,LANG_1,B
00ab9c8f49b4,ENG_1,B
00ae023f1edd,ART_1,D
00ae023f1edd,MTH_1,B
00ae023f1edd,SCI_1,F
00ae023f1edd,MTH_2,C
00ae023f1edd,ENG_1,B
00b1b249029b,SCI_1,A
00b1b249029b,ART_1,D
00b1b249029b,ENG_1,F
00b1b249029b,SCI_2,C
00b1b249029b,SOC_1,F
00b1b249029b,ENG_2,D
00c5e4bd95c9,MTH_1,F
00c5e4bd95c9,SCI_1,B
00c5e4bd95c9,SCI_2,C
00c5e4bd95c9,ENG_1,B
00c5e4bd95c9,ENG_2,A
00c5e4bd95c9,SOC_1,B
00dadd76529d,SCI_1,A
00dadd76529d,LANG_1,B
00dadd76529d,LANG_2,C
00dadd76529d,ART_1,B
00dadd76529d,ENG_1,A
00dadd76529d,ART_2,B
00e7cdcc146c,SOC_1,C
00e7cdcc146c,MTH_1,C
00e7cdcc146c,LANG_1,C
00e7cdcc146c,LANG_2,A
00e7cdcc146c,LANG_3,A
00e7cdcc146c,ENG_1,F
00e7cdcc146c,LANG_4,A
00e87954467e,SCI_1,C
00e87954467e,SCI_2,A
00e87954467e,SCI_3,A
00e87954467e,SCI_4,B
00e87954467e,MTH_1,B
00e87954467e,ENG_1,B
00e87954467e,SOC_1,B
00ef6b3ce926,MTH_1,C
00ef6b3ce926,SCI_1,D
00ef6b3ce926,MTH_2,B
00ef6b3ce926,ENG_1,C
00ef6b3ce926,MTH_3,C
00ef6b3ce926,MTH_4,F
00f0cdfcb50c,SOC_1,D
00f0cdfcb50c,MTH_1,C
00f0cdfcb50c,LANG_1,B
00f8f270abd6,MTH_1,B
00f8f270abd6,ART_1,B
00f8f270abd6,ENG_1,F
00f8f270abd6,ENG_2,B
00f8f270abd6,SOC_1,F
00f8f270abd6,ENG_3,A
00f8f270abd6,SCI_1,B
01054b0a17fa,SCI_1,C
01054b0a17fa,ART_1,B
01054b0a17fa,SCI_2,F
01054b0a17fa,LANG_1,A
010b4bc82a71,LANG_1,B
010b4bc82a71,MTH_1,C
010b4bc82a71,SOC_1,F
010b4bc82a71,SOC_2,B
010b4bc82a71,SCI_1,A
010b4bc82a71,LANG_2,B
010b4bc82a71,SOC_3,B
010ec1c11131,LANG_1,A
010ec1c11131,ART_1,B
010ec1c11131,LANG_2,B
010ec1c11131,ART_2,A
010ec1c11131,MTH_1,B
010ec1c11131,SCI_1,D
010ec1c11131,SOC_1,A
0116740bc694,ENG_1,B
0116740bc694,SOC_1,A
0116740bc694,MTH_1,A
0116740bc694,LANG_1,B
0116ec84c1ec,LANG_1,B
0116ec84c1ec,SOC_1,B
0116ec84c1ec,ART_1,B
0116ec84c1ec,SOC_2,F
0116ec84c1ec,LANG_2,A
0116ec84c1ec,MTH_1,A
0116ec84c1ec,ENG_1,D
0120cc295729,MTH_1,F
0120cc295729,LANG_1,C
0120cc295729,ENG_1,F
0120cc295729,ENG_2,A
0120cc295729,ENG_3,B
0120cc295729,MTH_2,B
0120cc295729,ART_1,D
01259df404a9,ENG_1,C
01259df404a9,ART_1,F
01259df404a9,MTH_1,B
01259df404a9,SOC_1,A
01259df404a9,MTH_2,B
01259df404a9,SOC_2,C
0135d434d2ab,SCI_1,A
0135d434d2ab,LANG_1,B
0135d434d2ab,SOC_1,B
0135d434d2ab,MTH_1,A
0135d434d2ab,MTH_2,A
013cda9870ba,LANG_1,B
013cda9870ba,SCI_1,A
013cda9870ba,SOC_1,B
013cda9870ba,SOC_2,A
013cda9870ba,ENG_1,B
013cda9870ba,ART_1,B
0141a2e0840a,LANG_1,F
0141a2e0840a,LANG_2,C
0141a2e0840a,ENG_1,B
0141a2e0840a,MTH_1,D
0141a2e0840a,ART_1,C
0141a2e0840a,ART_2,C
014727bafe06,LANG_1,C
014727bafe06,SCI_1,A
014727bafe06,ART_1,B
014727bafe06,ENG_1,A
014727bafe06,LANG_2,B
014727bafe06,ENG_2,A
015563be3006,ENG_1,C
015563be3006,ART_1,B
015563be3006,MTH_1,C
015563be3006,SOC_1,B
015563be3006,MTH_2,D
015563be3006,ENG_2,A
015a691280b3,ENG_1,D
015a691280b3,SCI_1,A
015a691280b3,LANG_1,F
015a691280b3,ART_1,C
015a691280b3,ART_2,A
015a691280b3,LANG_2,B
015ccbec32bd,LANG_1,C
015ccbec32bd,ART_1,C
015ccbec32bd,ENG_1,D
015ccbec32bd,MTH_1,B
016a3633b5c6,LANG_1,B
016a3633b5c6,ENG_1,B
016a3633b5c6,LANG_2,A
016a3633b5c6,ART_1,A
016a3633b5c6,ART_2,A
016a3633b5c6,MTH_1,A
016a3633b5c6,ENG_2,B
0180f7abdc10,SCI_1,B
0180f7abdc10,MTH_1,F
0180f7abdc10,ENG_1,B
0180f7abdc10,SOC_1,A
0180f7abdc10,ENG_2,A
0180f7abdc10,MTH_2,B
0180f7abdc10,MTH_3,B
0184675d53f3,SCI_1,B
0184675d53f3,SCI_2,A
0184675d53f3,ENG_1,C
0184675d53f3,ART_1,A
0184675d53f3,ART_2,C
0184675d53f3,MTH_1,A
0184675d53f3,SOC_1,F
018b1a6f9e7a,MTH_1,B
018b1a6f9e7a,ENG_1,B
018b1a6f9e7a,SCI_1,C
018b1a6f9e7a,SOC_1,B
018b1a6f9e7a,ART_1,A
018b1a6f9e7a,ENG_2,A
018b1a6f9e7a,SCI_2,C
018b1c52a4a2,MTH_1,C
018b1c52a4a2,MTH_2,A
018b1c52a4a2,MTH_3,C
018b1c52a4a2,ENG_1,D
018b1c52a4a2,MTH_4,C
018b1c52a4a2,MTH_5,D
0193d81d81d6,MTH_1,B
0193d81d81d6,SCI_1,B
0193d81d81d6,LANG_1,D
0193d81d81d6,ART_1,A
0193d81d81d6,MTH_2,B
0193d81d81d6,ART_2,A
0193d81d81d6,SCI_2,A
01944f3afcfb,LANG_1,B
01944f3afcfb,SCI_1,A
01944f3afcfb,ENG_1,A
01944f3afcfb,SOC_1,C
01944f3afcfb,SCI_2,B
01944f3afcfb,ART_1,D
01979214466f,LANG_1,B
01979214466f,SOC_1,C
01979214466f,SOC_2,A
01979214466f,SOC_3,B
01979214466f,MTH_1,C
01aa9b864640,LANG_1,B
01aa9b864640,LANG_2,D
01aa9b864640,LANG_3,C
01aa9b864640,LANG_4,C
01aa9b864640,LANG_5,B
01aa9b864640,MTH_1,A
01ac5e3da045,SOC_1,F
01ac5e3da045,ENG_1,B
01ac5e3da045,ENG_2,A
01ac5e3da045,LANG_1,A
01ac5e3da045,SCI_1,C
01ac5e3da045,MTH_1,A
01ac5e3da045,SCI_2,F
01b9c4722208,LANG_1,B
01b9c4722208,ART_1,C
01b9c4722208,SOC_1,D
01b9c4722208,MTH_1,C
01b9c4722208,ENG_1,C
01b9c4722208,ART_2,B
01c0fe76d225,LANG_1,B
01c0fe76d225,ART_1,C
01c0fe76d225,MTH_1,B
01c0fe76d225,ENG_1,B
01c0fe76d225,MTH_2,B
01c0fe76d225,SOC_1,A
01c0fe76d225,MTH_3,D
01f867b3cc55,SCI_1,B
01f867b3cc55,LANG_1,D
01f867b3cc55,ENG_1,F
01f867b3cc55,ART_1,F
01f867b3cc55,ENG_2,A
01f867b3cc55,ART_2,B
01f9b06dfa4f,ART_1,C
01f9b06dfa4f,SOC_1,C
01f9b06dfa4f,ENG_1,C
01f9b06dfa4f,ART_2,F
01f9b06dfa4f,MTH_1,C
01fc40dbe1ed,LANG_1,B
01fc40dbe1ed,SOC_1,A
01fc40dbe1ed,ENG_1,B
01fc40dbe1ed,ART_1,B
01fc40dbe1ed,ART_2,B
01ffc534a154,LANG_1,A
01ffc534a154,LANG_2,B
01ffc534a154,SOC_1,D
01ffc534a154,SCI_1,D
01ffc534a154,LANG_3,B
01ffc534a154,LANG_4,B
01ffc534a154,SCI_2,D
020126cde5d7,SCI_1,B
020126cde5d7,ENG_1,A
020126cde5d7,SOC_1,F
020126cde5d7,ART_1,C
020126cde5d7,MTH_1,A
020126cde5d7,SOC_2,A
02067a618db8,ART_1,F
02067a618db8,MTH_1,C
02067a618db8,ENG_1,B
02067a618db8,ENG_2,C
02067a618db8,ENG_3,A
02067a618db8,SOC_1,A
02067a618db8,ENG_4,D
021609fa6567,SOC_1,B
021609fa6567,MTH_1,D
021609fa6567,ART_1,B
021609fa6567,SOC_2,A
021609fa6567,SOC_3,A
021609fa6567,ENG_1,F
021609fa6567,MTH_2,B
0218c4f6d87a,SCI_1,B
0218c4f6d87a,MTH_1,A
0218c4f6d87a,SOC_1,B
0218c4f6d87a,LANG_1,F
021c91943fdd,ENG_1,C
021c91943fdd,MTH_1,D
021c91943fdd,LANG_1,B
021c91943fdd,SCI_1,D
021c91943fdd,SOC_1,A
02316f006c11,MTH_1,B
02316f006c11,MTH_2,F
02316f006c11,ART_1,A
02316f006c11,SOC_1,B
02316f006c11,MTH_3,C
02316f006c11,MTH_4,B
02316f006c11,ART_2,C
0237fceb668b,ENG_1,C
0237fceb668b,ENG_2,B
0237fceb668b,MTH_1,A
0237fceb668b,SOC_1,A
0237fceb668b,SCI_1,B
0237fceb668b,MTH_2,B
0240ebeb587e,SOC_1,B
0240ebeb587e,LANG_1,A
0240ebeb587e,ART_1,A
0240ebeb587e,SOC_2,D
0240ebeb587e,SOC_3,A
0240ebeb587e,SOC_4,A
0250fddfe951,LANG_1,A
0250fddfe951,ENG_1,C
0250fddfe951,SCI_1,F
0250fddfe951,MTH_1,B
025bfb6fa9ee,LANG_1,A
025bfb6fa9ee,ENG_1,A
025bfb6fa9ee,SOC_1,C
025bfb6fa9ee,LANG_2,A
025e5f230b74,ENG_1,B
025e5f230b74,ART_1,B
025e5f230b74,ENG_2,A
025e5f230b74,LANG_1,C
025e5f230b74,ART_2,C
025e5f230b74,SCI_1,F
025e5f230b74,LANG_2,C
0260856bcf65,SOC_1,B
0260856bcf65,LANG_1,B
0260856bcf65,SCI_1,B
0260856bcf65,ENG_1,B
0260856bcf65,ART_1,A
0260856bcf65,ENG_2,B
0260856bcf65,LANG_2,F
0261fe56cf1b,SCI_1,D
0261fe56cf1b,ENG_1,A
0261fe56cf1b,LANG_1,C
0261fe56cf1b,SCI_2,A
0261fe56cf1b,SOC_1,F
02648b565c17,SCI_1,B
02648b565c17,ENG_1,B
02648b565c17,LANG_1,B
02648b565c17,MTH_1,C
02648b565c17,LANG_2,A
02648b565c17,LANG_3,A
02648b565c17,ENG_2,A
026509d514af,SOC_1,B
026509d514af,SOC_2,A
026509d514af,LANG_1,B
026509d514af,ART_1,B
026509d514af,MTH_1,B
02697c5dd529,LANG_1,B
02697c5dd529,MTH_1,C
02697c5dd529,SOC_1,C
02697c5dd529,SOC_2,B
02697c5dd529,MTH_2,A
02697c5dd529,LANG_2,D
026d0a13dce5,ENG_1,A
026d0a13dce5,ART_1,D
026d0a13dce5,SCI_1,B
026d0a13dce5,ART_2,A
026d0a13dce5,LANG_1,B
026d0a13dce5,SCI_2,A
027ecaa91ea9,SOC_1,A
027ecaa91ea9,SCI_1,A
027ecaa91ea9,ART_1,A
027ecaa91ea9,SCI_2,C
027ecaa91ea9,ART_2,B
027ecaa91ea9,LANG_1,B
027ecaa91ea9,SOC_2,B
0285886bdb21,ENG_1,C
0285886bdb21,SOC_1,B
0285886bdb21,ART_1,D
0285886bdb21,SOC_2,A
0285886bdb21,SOC_3,C
0285886bdb21,SOC_4,C
028d3cce2e5c,MTH_1,B
028d3cce2e5c,ENG_1,B
028d3cce2e5c,ART_1,D
028d3cce2e5c,ENG_2,A
028d3cce2e5c,SOC_1,A
028d3cce2e5c,ENG_3,A
028d3cce2e5c,ART_2,B
028e97f38cb9,MTH_1,B
028e97f38cb9,ENG_1,C
028e97f38cb9,SOC_1,A
028e97f38cb9,ART_1,C
028e97f38cb9,ART_2,B
028e97f38cb9,LANG_1,D
028e97f38cb9,SCI_1,F
029ec8a0d960,LANG_1,C
029ec8a0d960,SOC_1,B
029ec8a0d960,SOC_2,B
029ec8a0d960,SCI_1,B
029ec8a0d960,LANG_2,C
029ec8a0d960,ART_1,C
029ec8a0d960,LANG_3,D
02a2c3c86df4,SOC_1,C
02a2c3c86df4,ART_1,D
02a2c3c86df4,ART_2,C
02a2c3c86df4,SCI_1,B
02a2c3c86df4,ART_3,C
02a2c3c86df4,SOC_2,A
02a2c3c86df4,SCI_2,D
02bd0c08a92b,ART_1,B
02bd0c08a92b,MTH_1,C
02bd0c08a92b,SOC_1,F
02bd0c08a92b,MTH_2,C
02bd0c08a92b,MTH_3,B
02bd0c08a92b,SOC_2,C
02c4bd927afb,ENG_1,A
02c4bd927afb,SCI_1,B
02c4bd927afb,MTH_1,A
02c4bd927afb,SCI_2,A
02c4bd927afb,MTH_2,C
02c4bd927afb,LANG_1,B
02c4bd927afb,SCI_3,C
02cc12d0fb89,SOC_1,B
02cc12d0fb89,ENG_1,B
02cc12d0fb89,SCI_1,B
02cc12d0fb89,LANG_1,B
02cc12d0fb89,MTH_1,B
02cc12d0fb89,ART_1,A
02cce09c39f4,MTH_1,A
02cce09c39f4,ART_1,F
02cce09c39f4,LANG_1,B
02cce09c39f4,MTH_2,C
02cce09c39f4,ENG_1,C
02cce09c39f4,SCI_1,D
02d0a01083c7,MTH_1,B
02d0a01083c7,ENG_1,B
02d0a01083c7,MTH_2,C
02d0a01083c7,ART_1,C
02d0a01083c7,SOC_1,B
02d0a01083c7,SOC_2,A
02d4247761cb,ENG_1,B
02d4247761cb,ENG_2,B
02d4247761cb,ART_1,A
02d4247761cb,MTH_1,B
02d4247761cb,ART_2,B
02d4247761cb,LANG_1,F
02dc8d3a87b5,MTH_1,C
02dc8d3a87b5,SCI_1,C
02dc8d3a87b5,SOC_1,B
02dc8d3a87b5,SOC_2,A
02dc8d3a87b5,ENG_1,B
02dc8d3a87b5,ENG_2,B
02dc8d3a87b5,SCI_2,A
02de53b71313,ENG_1,B
02de53b71313,MTH_1,A
02de53b71313,SOC_1,B
02de53b71313,ART_1,B
02de53b71313,MTH_2,A
02f0bffdde23,LANG_1,A
02f0bffdde23,LANG_2,C
02f0bffdde23,SOC_1,B
02f0bffdde23,SOC_2,B
02f0bffdde23,SOC_3,C
02f0bffdde23,ENG_1,B
02fcae96f480,MTH_1,C
02fcae96f480,MTH_2,C
02fcae96f480,ART_1,B
02fcae96f480,ART_2,C
02fcae96f480,ART_3,A
02fcae96f480,ENG_1,C
0302450e380d,SOC_1,A
0302450e380d,SCI_1,B
0302450e380d,SOC_2,B
0302450e380d,SCI_2,B
0302450e380d,SOC_3,B
0302450e380d,ART_1,B
0302450e380d,ART_2,A
0319ccb51951,ART_1,B
0319ccb51951,SCI_1,C
0319ccb51951,MTH_1,B
0319ccb51951,LANG_1,D
0319ccb51951,SOC_1,F
0319ccb51951,LANG_2,A
0319ccb51951,ART_2,D
031b894b6cf0,ENG_1,F
031b894b6cf0,ART_1,B
031b894b6cf0,MTH_1,B
031b894b6cf0,LANG_1,B
031e062d7375,SOC_1,B
031e062d7375,MTH_1,C
031e062d7375,ENG_1,A
031e062d7375,ENG_2,B
031e062d7375,SOC_2,D
031e38323fa0,LANG_1,A
031e38323fa0,ART_1,C
031e38323fa0,ENG_1,B
031e38323fa0,ART_2,B
031e38323fa0,SOC_1,A
031e38323fa0,ART_3,B
031e38323fa0,MTH_1,B
031fc24dbb26,SCI_1,A
031fc24dbb26,SOC_1,C
031fc24dbb26,ART_1,D
031fc24dbb26,LANG_1,F
031fc24dbb26,SCI_2,B
031fc24dbb26,ART_2,C
031fc24dbb26,ENG_1,C
0320c5d364a8,ENG_1,F
0320c5d364a8,SCI_1,A
0320c5d364a8,ENG_2,D
0320c5d364a8,MTH_1,A
0320c5d364a8,SCI_2,A
0320c5d364a8,SCI_3,B
0320c5d364a8,LANG_1,C
032548b703ce,MTH_1,A
032548b703ce,MTH_2,A
032548b703ce,SCI_1,B
032548b703ce,SOC_1,C
032548b703ce,SCI_2,C
032548b703ce,SOC_2,A
033ce5b69cea,SCI_1,B
033ce5b69cea,ART_1,B
033ce5b69cea,LANG_1,C
033ce5b69cea,SOC_1,A
033ce5b69cea,ENG_1,A
033ce5b69cea,MTH_1,B
03400425b1fa,LANG_1,B
03400425b1fa,SOC_1,A
03400425b1fa,MTH_1,A
03400425b1fa,MTH_2,A
03400425b1fa,ART_1,F
03400425b1fa,MTH_3,A
03400425b1fa,ART_2,D
035cd6fa6c8e,ART_1,A
035cd6fa6c8e,SCI_1,D
035cd6fa6c8e,ART_2,B
035cd6fa6c8e,ENG_1,A
035cd6fa6c8e,SOC_1,A
036574621b58,LANG_1,A
036574621b58,LANG_2,C
036574621b58,ART_1,C
036574621b58,ENG_1,A
036574621b58,SOC_1,B
036574621b58,ENG_2,A
03677d30d902,SCI_1,F
03677d30d902,LANG_1,C
03677d30d902,MTH_1,F
03677d30d902,SOC_1,C
03677d30d902,LANG_2,C
036ff7313994,LANG_1,B
036ff7313994,SOC_1,A
036ff7313994,LANG_2,A
036ff7313994,MTH_1,C
036ff7313994,SCI_1,B
036ff7313994,LANG_3,A
037e2b24c29e,SCI_1,C
037e2b24c29e,SCI_2,B
037e2b24c29e,LANG_1,C
037e2b24c29e,SOC_1,B
037e2b24c29e,LANG_2,A
037e2b24c29e,LANG_3,C
037e2b24c29e,SCI_3,B
0389b2fc8011,SCI_1,A
0389b2fc8011,ENG_1,A
0389b2fc8011,ART_1,B
0389b2fc8011,ENG_2,B
0389b2fc8011,LANG_1,D
0389b2fc8011,MTH_1,D
0389b2fc8011,SCI_2,C
039035874015,MTH_1,C
039035874015,SOC_1,A
039035874015,SOC_2,A
039035874015,ART_1,B
03967e337798,SCI_1,A
03967e337798,SOC_1,A
03967e337798,SCI_2,A
03967e337798,SCI_3,B
03967e337798,SOC_2,B
03967e337798,SCI_4,C
0399fa5bb970,ART_1,A
0399fa5bb970,ENG_1,D
0399fa5bb970,SCI_1,B
0399fa5bb970,ENG_2,B
0399fa5bb970,ENG_3,C
0399fa5bb970,ART_2,D
0399fa5bb970,ENG_4,C
03a86da53c0d,LANG_1,A
03a86da53c0d,LANG_2,A
03a86da53c0d,SOC_1,B
03a86da53c0d,SOC_2,A
03a86da53c0d,MTH_1,A
03a86da53c0d,SOC_3,C
03a86da53c0d,SCI_1,B
03ae4538062c,LANG_1,C
03ae4538062c,LANG_2,F
03ae4538062c,SCI_1,B
03ae4538062c,ART_1,B
03ae4538062c,LANG_3,D
03ae4538062c,SOC_1,B
03b4b006967e,ART_1,C
03b4b006967e,SCI_1,B
03b4b006967e,LANG_1,C
03b4b006967e,MTH_1,B
03b4b006967e,ENG_1,A
03ba529371b7,SOC_1,A
03ba529371b7,MTH_1,D
03ba529371b7,ART_1,D
03ba529371b7,SOC_2,B
03c396c51e59,ART_1,A
03c396c51e59,ENG_1,B
03c396c51e59,SOC_1,A
03c396c51e59,SOC_2,F
03c396c51e59,SCI_1,F
03c396c51e59,SOC_3,A
03c8632722f4,LANG_1,A
03c8632722f4,MTH_1,C
03c8632722f4,LANG_2,B
03c8632722f4,LANG_3,B
03c8632722f4,ART_1,B
03c8632722f4,ART_2,C
03c8632722f4,ENG_1,C
03ca47a2bc8e,MTH_1,A
03ca47a2bc8e,MTH_2,C
03ca47a2bc8e,MTH_3,B
03ca47a2bc8e,SOC_1,D
03ca47a2bc8e,SOC_2,C
03ca47a2bc8e,SCI_1,C
03ca47a2bc8e,MTH_4,F
03d27fbf177c,MTH_1,C
03d27fbf177c,ENG_1,A
03d27fbf177c,ENG_2,B
03d27fbf177c,ART_1,B
03d27fbf177c,SCI_1,A
03d915dd705a,LANG_1,B
03d915dd705a,SCI_1,B
03d915dd705a,ENG_1,F
03d915dd705a,LANG_2,D
03d915dd705a,ENG_2,D
03d915dd705a,SCI_2,A
03d915dd705a,MTH_1,C
03f4ac933ef9,LANG_1,A
03f4ac933ef9,ENG_1,C
03f4ac933ef9,LANG_2,B
03f4ac933ef9,MTH_1,A
03f4ac933ef9,ENG_2,B
03f4ac933ef9,LANG_3,B
03f75e425725,ENG_1,B
03f75e425725,ENG_2,A
03f75e425725,LANG_1,A
03f75e425725,ART_1,B
03f75e425725,ENG_3,C
03f75e425725,LANG_2,B
03f75e425725,ENG_4,F
041d3d2bdb01,LANG_1,A
041d3d2bdb01,LANG_2,A
041d3d2bdb01,SOC_1,C
041d3d2bdb01,ENG_1,C
041d3d2bdb01,ART_1,A
041d3d2bdb01,MTH_1,A
0422254af545,ENG_1,B
0422254af545,MTH_1,B
0422254af545,MTH_2,C
0422254af545,ART_1,B
0422254af545,ENG_2,D
0422254af545,ENG_3,F
0422254af545,MTH_3,B
042697b522d3,MTH_1,A
042697b522d3,MTH_2,D
042697b522d3,SOC_1,B
042697b522d3,SCI_1,A
042697b522d3,ENG_1,A
042697b522d3,SCI_2,B
042697b522d3,MTH_3,B
0428daf6e642,SCI_1,B
0428daf6e642,ART_1,F
0428daf6e642,LANG_1,D
0428daf6e642,MTH_1,A
0428daf6e642,MTH_2,C
0428daf6e642,ENG_1,A
042a25731c56,ENG_1,A
042a25731c56,SOC_1,B
042a25731c56,ART_1,C
042a25731c56,LANG_1,B
042a25731c56,LANG_2,A
042a25731c56,LANG_3,B
042a25731c56,LANG_4,B
0434b6ebdc2c,ENG_1,A
0434b6ebdc2c,MTH_1,B
0434b6ebdc2c,ENG_2,A
0434b6ebdc2c,SOC_1,B
0434b6ebdc2c,SOC_2,A
0447dd0e4806,ART_1,C
0447dd0e4806,ART_2,D
0447dd0e4806,ENG_1,D
0447dd0e4806,MTH_1,C
0447dd0e4806,ART_3,B
0447dd0e4806,ART_4,C
0447dd0e4806,ENG_2,D
0451b14924fe,MTH_1,A
0451b14924fe,SOC_1,B
0451b14924fe,MTH_2,B
0451b14924fe,SOC_2,A
0451b14924fe,ART_1,C
0451b14924fe,ENG_1,B
0459f7761e4d,ENG_1,A
0459f7761e4d,ART_1,C
0459f7761e4d,SCI_1,A
0459f7761e4d,LANG_1,B
0459f7761e4d,ART_2,F
0459f7761e4d,ART_3,C
045af90216f5,ART_1,A
045af90216f5,MTH_1,A
045af90216f5,SCI_1,B
045af90216f5,MTH_2,B
045af90216f5,ART_2,A
045b8af580ca,SCI_1,D
045b8af580ca,SOC_1,B
045b8af580ca,SOC_2,C
045b8af580ca,MTH_1,D
045b8af580ca,LANG_1,A
045b8af580ca,SOC_3,A
045b8af580ca,LANG_2,B
045ef7f851e6,ART_1,C
045ef7f851e6,LANG_1,F
045ef7f851e6,SCI_1,F
045ef7f851e6,LANG_2,B
045ef7f851e6,SOC_1,C
046203fea324,SOC_1,B
046203fea324,MTH_1,A
046203fea324,SOC_2,B
046203fea324,ENG_1,B
046203fea324,LANG_1,B
046203fea324,LANG_2,B
046f0d682733,ENG_1,B
046f0d682733,SOC_1,A
046f0d682733,LANG_1,C
046f0d682733,MTH_1,A
046f0d682733,SCI_1,C
046f0d682733,MTH_2,A
047ac7d2ea0b,ART_1,A
047ac7d2ea0b,LANG_1,B
047ac7d2ea0b,ART_2,A
047ac7d2ea0b,SOC_1,B
047ac7d2ea0b,ENG_1,B
047ac7d2ea0b,SOC_2,B
047cc744dcdc,ART_1,D
047cc744dcdc,SOC_1,A
047cc744dcdc,ART_2,B
047cc744dcdc,LANG_1,C
047cc744dcdc,SOC_2,A
047cc744dcdc,ART_3,B
048789cd4855,SCI_1,C
048789cd4855,SOC_1,A
048789cd4855,ENG_1,B
048789cd4855,LANG_1,B
048789cd4855,ART_1,B
048789cd4855,ENG_2,A
049882ad69d4,ENG_1,B
049882ad69d4,ENG_2,B
049882ad69d4,SOC_1,B
049882ad69d4,LANG_1,F
049882ad69d4,LANG_2,A
049882ad69d4,LANG_3,B
049ded984785,SCI_1,A
049ded984785,SCI_2,A
049ded984785,SOC_1,D
049ded984785,MTH_1,B
049ded984785,LANG_1,B
049ded984785,LANG_2,C
049ded984785,ENG_1,A
04aa7b977a54,SCI_1,C
04aa7b977a54,MTH_1,B
04aa7b977a54,MTH_2,B
04aa7b977a54,SCI_2,A
04aa7b977a54,MTH_3,B
04aa7b977a54,ART_1,A
04b1f705a5b8,MTH_1,C
04b1f705a5b8,SCI_1,A
